num_iter,objectids_to_keep,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
31,"161,162,164,166,167,000,000,000,000,000,000,000,000,000",9.973,43910.69614,749352456.6,17154.35883,NA,NA,NA,NA,3.8418,18.4496,18.4496,81.5504,3.133,0.7088,NA,0,0.091836735,0.101190476,1,97.61556164,10556.29835,29504.87398,131350,311000,2.171582231,0,0
32,"161,162,164,165,167,000,000,000,000,000,000,000,000,000",10.6753,42963.72362,801269538.1,17157.34483,NA,NA,NA,NA,3.9562,17.4216,17.4216,82.5784,3.267,0.6892,NA,0,0.102040816,0.172619048,1,97.61932054,10551.26504,29448.10073,95400,218000,1.820768236,0,0
33,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.7362,44498.41798,801997471.2,17157.34483,NA,NA,NA,NA,3.9625,17.4447,17.4447,82.5553,3.2713,0.6912,NA,0,0.102040816,0.172619048,1,97.62105171,10540.8648,29437.76769,94800,230000,2.034363574,0,0
34,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.0985,49545.10175,761305821.7,17157.34483,NA,NA,NA,NA,3.832,17.3125,17.3125,82.6875,3.1686,0.6634,NA,0,0.102040816,0.172619048,1,97.61747714,10618.71579,29558.33949,123000,261000,1.85224383,0,0
35,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",9.5482,46616.74514,720454757.9,17154.37293,NA,NA,NA,NA,3.3124,10.3663,10.3663,89.6337,2.9691,0.3434,NA,0,0.091836735,0.172619048,1,97.61135603,10690.89468,29505.03176,150950,319000,2.05465902,0,0
36,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.8258,46920.21289,802105448.8,17155.40479,NA,NA,NA,NA,3.9663,17.4172,17.4172,82.5828,3.2755,0.6908,NA,0,0.086734694,0.19047619,1,97.61504749,10537.82101,29409.41477,88150,195000,1.687370658,0,0
37,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",9.3084,49098.5581,706155796.2,17154.37293,NA,NA,NA,NA,3.1067,8.4334,8.4334,91.5666,2.8447,0.262,NA,0,0.091836735,0.172619048,1,97.60953091,8827.72596,29638.06553,161000,281000,1.746332974,0,0
38,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.7977,46272.54706,799632425.4,17156.21708,NA,NA,NA,NA,3.9655,17.4262,17.4262,82.5738,3.2744,0.691,NA,0,0.076530612,0.119047619,1,97.61110672,10496.15305,29417.89045,89750,204000,1.797896703,0,0
39,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.3353,44226.50608,773282194.9,17151.83377,NA,NA,NA,NA,3.8603,16.5378,16.5378,83.4622,3.2219,0.6384,NA,0,0.091836735,0.172619048,1,97.61318848,10548.24557,29517.00739,114850,264000,1.980449098,0,0
40,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.601,47088.59698,770946416.1,17134.96569,NA,NA,NA,NA,3.8766,15.9015,15.9015,84.0985,3.2602,0.6164,NA,0,0.086734694,0.172619048,1,97.60338932,10046.82713,29476.96196,102000,234000,1.893944638,0,0
41,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",9.8908,47088.59698,726666087.1,17134.96569,NA,NA,NA,NA,3.7384,16.9093,16.9093,83.0907,3.1063,0.6321,NA,0,0.091836735,0.172619048,1,97.61585765,5748.493779,29596.93606,132450,275000,1.880060209,0,0
42,"161,162,164,165,166,000,000,000,000,000,000,000,000,000",10.0375,55607.83235,739044679.8,17058.92343,NA,NA,NA,NA,3.8549,17.6876,17.6876,82.3124,3.173,0.6818,NA,0,0.091836735,0.172619048,1,97.58492154,10046.82713,29585.76847,87733.33333,216666.6667,1.912569129,0,0
43,"161,162,163,166,167,000,000,000,000,000,000,000,000,000",10.8225,39450.2706,809675560.7,17158.99562,NA,NA,NA,NA,4.6507,25.4215,25.4215,74.5785,3.4684,1.1823,NA,0.071428571,0.107142857,0.101190476,1,97.6284016,10687.16861,29427.74266,91050,265000,2.195666244,0,0
44,"161,162,163,165,167,000,000,000,000,000,000,000,000,000",11.5248,37600.27299,861592642.2,17161.98162,NA,NA,NA,NA,4.7547,24.4991,24.4991,75.5009,3.5899,1.1649,NA,0.071428571,0.117346939,0.172619048,1,97.63195111,10682.13531,29372.31447,54900,175000,1.87288337,0,0
45,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",11.5857,40037.99244,862320575.3,17161.98162,NA,NA,NA,NA,4.7561,24.4391,24.4391,75.5609,3.5938,1.1623,NA,0.071428571,0.117346939,0.172619048,1,97.63366734,10671.73506,29362.10959,54700,184000,2.03375863,0,0
46,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",10.948,45084.67622,821628925.8,17161.98162,NA,NA,NA,NA,4.648,24.6866,24.6866,75.3134,3.5005,1.1474,NA,0.071428571,0.117346939,0.172619048,1,97.63020884,10749.58606,29480.77757,82500,215000,1.867609914,0,0
47,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",10.3977,42156.31961,780777861.9,17159.00972,NA,NA,NA,NA,4.2299,21.486,21.486,78.514,3.321,0.9088,NA,0.071428571,0.107142857,0.172619048,1,97.62429428,10821.76494,29427.47979,110350,276000,2.094839972,0,0
48,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",11.6753,42459.78736,862428552.9,17160.04158,NA,NA,NA,NA,4.7593,24.4087,24.4087,75.5913,3.5976,1.1617,NA,0.071428571,0.102040816,0.19047619,1,97.62770046,10668.69127,29334.19699,47250,153000,1.748068935,0,0
49,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",10.1579,44638.13256,766478900.3,17159.00972,NA,NA,NA,NA,4.0708,21.1365,21.1365,78.8635,3.2104,0.8604,NA,0.071428571,0.107142857,0.172619048,1,97.62242692,8958.596224,29558.84373,120750,234000,1.758420283,0,0
50,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",11.6472,41812.12153,859955529.5,17160.85387,NA,NA,NA,NA,4.7586,24.4179,24.4179,75.5821,3.5966,1.1619,NA,0.071428571,0.091836735,0.119047619,1,97.62382522,10627.02331,29342.54896,49250,159000,1.812085946,0,0
51,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",11.1848,39766.08054,833605299,17156.47056,NA,NA,NA,NA,4.6713,24.0288,24.0288,75.9712,3.5489,1.1225,NA,0.071428571,0.107142857,0.172619048,1,97.62597947,10679.11583,29440.07526,74450,219000,2.002816052,0,0
52,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",11.4505,42628.17145,831269520.2,17139.60248,NA,NA,NA,NA,4.6033,22.15,22.15,77.85,3.5837,1.0196,NA,0,0.102040816,0.172619048,1,97.61625782,10167.63045,29400.7432,61500,190000,1.916703501,0,0
53,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",10.7403,45706.17301,784871333.3,17135.23959,NA,NA,NA,NA,4.1812,17.6256,17.6256,82.3744,3.4442,0.737,NA,0,0.096938776,0.172619048,1,97.62863604,5879.364043,29518.763,92200,226000,1.872369328,0,0
54,"161,162,163,165,166,000,000,000,000,000,000,000,000,000",10.887,51490.51648,799367783.9,17063.56022,NA,NA,NA,NA,4.6668,24.9048,24.9048,75.0952,3.5046,1.1623,NA,0.071428571,0.107142857,0.172619048,1,97.59831808,10167.63045,29507.74602,60533.33333,185333.3333,1.915761154,0,0
55,"161,162,163,164,167,000,000,000,000,000,000,000,000,000",11.4403,37913.9446,852002884.3,17158.99562,NA,NA,NA,NA,4.8488,26.4078,26.4078,73.5922,3.5684,1.2805,NA,0.071428571,0.107142857,0.101190476,1,97.62860503,10408.87416,29332.66198,61150,188000,1.905853057,0,0
56,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",11.5012,37283.80794,852730817.4,17158.99562,NA,NA,NA,NA,4.8583,26.4698,26.4698,73.5302,3.5723,1.286,NA,0.071428571,0.107142857,0.101190476,1,97.6303255,10398.47392,29322.44912,60300,202000,2.160623432,0,0
57,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",10.8635,44495.32273,812039167.9,17158.99562,NA,NA,NA,NA,4.7498,26.7655,26.7655,73.2345,3.4785,1.2713,NA,0.071428571,0.107142857,0.101190476,1,97.62683464,10476.32492,29441.0018,88750,226000,1.884895861,0,0
58,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",10.3131,41566.96612,771188104.1,17156.02372,NA,NA,NA,NA,4.3415,24.0406,24.0406,75.9594,3.2978,1.0437,NA,0.071428571,0.096938776,0.101190476,1,97.62086472,10548.5038,29387.32057,116450,292000,2.150106115,0,0
59,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",11.5908,41870.43387,852838795,17157.05558,NA,NA,NA,NA,4.8588,26.3979,26.3979,73.6021,3.5762,1.2826,NA,0.071428571,0.091836735,0.119047619,1,97.62434832,10395.43013,29294.5617,53500,165000,1.755395025,0,0
60,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",10.0734,44048.77908,756889142.4,17156.02372,NA,NA,NA,NA,4.1867,23.8942,23.8942,76.1058,3.1863,1.0004,NA,0.071428571,0.096938776,0.101190476,1,97.61900635,8685.335081,29518.79528,126350,248000,1.802267658,0,0
61,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",11.5627,41222.76804,850365771.6,17157.86787,NA,NA,NA,NA,4.8581,26.4076,26.4076,73.5924,3.5752,1.2829,NA,0.071428571,0.081632653,0.047619048,1,97.62045564,10353.76217,29302.91025,55700,175000,1.871958644,0,0
62,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",11.1003,39176.72706,824015541.1,17153.48456,NA,NA,NA,NA,4.7727,26.0974,26.0974,73.9026,3.5271,1.2455,NA,0.071428571,0.096938776,0.101190476,1,97.62259023,10405.85469,29400.32564,80850,232000,2.034695646,0,0
63,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",11.3659,42038.81796,821679762.3,17136.61648,NA,NA,NA,NA,4.6986,24.1865,24.1865,75.8135,3.5622,1.1364,NA,0,0.091836735,0.101190476,1,97.61284793,9915.389397,29361.07421,67350,204000,1.963715305,0,0
64,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",10.6558,43233.67592,775281575.4,17132.25359,NA,NA,NA,NA,4.2568,19.6142,19.6142,80.3858,3.4219,0.8349,NA,0,0.086734694,0.101190476,1,97.625249,5606.1029,29478.95227,98200,241000,1.925009162,0,0
65,"161,162,163,164,166,000,000,000,000,000,000,000,000,000",10.8025,50946.49787,789778026,17060.57422,NA,NA,NA,NA,4.7683,26.9641,26.9641,73.0359,3.4826,1.2857,NA,0.071428571,0.096938776,0.101190476,1,97.59476964,9915.389397,29467.93181,64700,199333.3333,2.0134517,0,0
66,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",12.2034,44325.88868,904647898.9,17161.98162,NA,NA,NA,NA,4.95,25.4471,25.4471,74.5529,3.6903,1.2596,NA,0.071428571,0.117346939,0.172619048,1,97.63381227,10393.44062,29268.45154,24550,111000,1.773174403,0,0
67,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.5658,43548.35022,863956249.4,17161.98162,NA,NA,NA,NA,4.8461,25.7207,25.7207,74.2793,3.5996,1.2464,NA,0.071428571,0.117346939,0.172619048,1,97.63038816,10471.29161,29385.4689,53100,145000,1.626154272,0,0
68,"161,162,163,164,165,000,000,000,000,000,000,000,000,000",11.0154,40619.99361,823105185.6,17159.00972,NA,NA,NA,NA,4.4466,22.9682,22.9682,77.0318,3.4253,1.0213,NA,0.071428571,0.107142857,0.172619048,1,97.62453659,10543.4705,29331.88885,80300,202000,1.824892011,0,0
