num_iter,prot,nn_d,area_buff,prox,eca,flux,awf,pc,protconn,protconn_prot,protconn_unprot,protconn_trans,protconn_within,protconn_contig,iic,bc,degree,clustering_coeff,compartment,cohesion,gyrate,aw_gyrate,mean_patch_area,mean_patch_peri,mean_patch_shape,total_edge,edge_density
73,12.0682,10178.57125,1473.037057,17139.60248,4600.222472,476.414,7907020,5025.23,4.7957,23.2527,23.2527,76.7473,3.6805,1.1151,4325.95,0,0.102040816,0.119047619,0.802553857,97.59105983,12981.63708,15834.90015,31400,117000,1.656015196,0,0
74,11.3581,9732.72949,1348.813914,17135.23959,4184.967909,476.846,5739260,4597.92,4.3628,18.7477,18.7477,81.2523,3.5449,0.8179,3967.87,0,0.096938776,0.119047619,0.748727914,97.55136788,12703.50077,15856.95919,62700,154000,1.614665902,0,0
75,11.5047,9898.93847,857.2050572,17063.56022,4665.930344,477.298,8484200,4977.98,4.8642,25.9166,25.9166,74.0834,3.6036,1.2606,4295.44,0.071428571,0.107142857,0.119047619,0.798243895,97.62281853,13218.41006,15816.91273,40466.66667,142000,1.830111888,0,0
76,11.6267,6722.650785,1637.727914,17161.98162,4655.666487,481.044,8392730,5122.42,4.8535,25.7546,25.7546,74.2454,3.6035,1.25,4376.46,0.071428571,0.117346939,0.119047619,0.788982496,97.57824664,12600.00102,15776.90078,52450,156000,1.828812531,0,0
77,11.0763,10241.75628,1429.012914,17159.00972,4273.121973,480.003,6097300,4746.58,4.4547,23.0164,23.0164,76.9836,3.4294,1.0253,3978.95,0.071428571,0.107142857,0.119047619,0.830501784,97.50155866,11955.45642,14722.8993,79600,214000,2.034844526,0,0
78,12.3539,9083.240137,1577.839843,17160.04158,4758.017288,475.677,8633790,5209.99,4.9602,25.4488,25.4488,74.5512,3.6979,1.2623,4447.81,0.071428571,0.102040816,0.142857143,0.868361313,97.5777514,13177.67649,15669.93365,17100,87000,1.623990104,0,0
79,10.8366,12806.03215,1429.012914,17159.00972,4128.564656,479.568,5604810,4616.32,4.304,22.8074,22.8074,77.1926,3.3223,0.9816,3904.75,0.071428571,0.107142857,0.119047619,0.830501784,97.51379367,12312.49982,15365.40392,89500,175000,1.719392477,0,0
80,12.3258,9711.547577,1605.597579,17160.85387,4757.345821,473.13,8633870,5208.74,4.9595,25.4577,25.4577,74.5423,3.697,1.2626,4446.97,0.071428571,0.091836735,0.095238095,0.86648387,97.5926323,13089.77874,15685.78276,18900,97000,1.752878613,0,0
81,11.8635,10487.26473,1479.215414,17156.47056,4677.15344,476.155,8237930,5005.27,4.8759,25.1317,25.1317,74.8683,3.6505,1.2254,4356.87,0.071428571,0.107142857,0.119047619,0.823665077,97.59543519,12586.44799,15719.99352,43700,164000,2.016113043,0,0
82,12.1291,9673.411117,1473.037057,17139.60248,4607.224917,476.531,7930280,5029.92,4.803,23.2906,23.2906,76.7094,3.6843,1.1186,4326.53,0,0.102040816,0.119047619,0.802553857,97.60137804,12864.06391,15788.57622,31150,127000,1.82791256,0,0
83,11.419,9227.569358,1348.813914,17135.23959,4192.066278,476.963,5762340,4602.43,4.3702,18.7946,18.7946,81.2054,3.5489,0.8214,3968.5,0,0.096938776,0.119047619,0.748727914,97.56202296,12585.92759,15808.06646,62050,169000,1.847548673,0,0
84,11.5656,9393.778338,857.2050572,17063.56022,4673.028712,477.416,8507480,4982.91,4.8716,25.9493,25.9493,74.0507,3.6074,1.2641,4296.02,0.071428571,0.107142857,0.119047619,0.798243895,97.63385275,13092.4388,15768.19311,39933.33333,146000,1.918733265,0,0
85,10.4387,10460.75272,1429.012914,17159.00972,4175.087748,479.991,5930750,4665,4.3525,23.4555,23.4555,76.5445,3.3316,1.0209,3903.12,0.071428571,0.107142857,0.119047619,0.830501784,97.45678068,11732.54656,14761.01013,108600,247000,1.856533467,0,0
86,11.7163,9302.236573,1577.839843,17160.04158,4658.736051,475.605,8401080,5126.54,4.8567,25.7229,25.7229,74.2771,3.6074,1.2493,4380.11,0.071428571,0.102040816,0.142857143,0.868361313,97.54256589,12954.76663,15751.10982,45750,118000,1.444975436,0,0
87,10.1989,12951.15314,1429.012914,17159.00972,4046.549722,479.645,5561280,4546.93,4.2185,23.6391,23.6391,76.3609,3.2213,0.9972,3827.45,0.071428571,0.107142857,0.119047619,0.830501784,97.47211654,12089.58996,15440.85749,118350,203000,1.508413835,0,0
88,11.6882,9930.544013,1605.597579,17160.85387,4658.064584,473.057,8401160,5125.27,4.856,25.7323,25.7323,74.2677,3.6064,1.2496,4379.25,0.071428571,0.091836735,0.095238095,0.86648387,97.55784697,12866.86887,15767.97553,47650,130000,1.582603797,0,0
89,11.2258,10706.26117,1479.215414,17156.47056,4576.433345,476.083,8005390,4918.99,4.7709,25.4077,25.4077,74.5923,3.5588,1.2122,4287.73,0.071428571,0.107142857,0.119047619,0.823665077,97.5587157,12363.53813,15807.75337,72400,189000,1.767314665,0,0
90,11.4915,9892.407553,1473.037057,17139.60248,4504.586344,476.459,7697560,4943.37,4.696,23.4771,23.4771,76.5229,3.5935,1.1025,4256.9,0,0.102040816,0.119047619,0.802553857,97.56621827,12641.15404,15877.77147,59800,158000,1.643402088,0,0
91,10.7813,9446.565794,1348.813914,17135.23959,4078.972,476.89,5529630,4507.48,4.2523,18.763,18.763,81.237,3.4544,0.7979,3892.47,0,0.096938776,0.119047619,0.748727914,97.52317249,12363.01773,15903.46418,90250,196000,1.633013556,0,0
92,10.928,9612.774774,857.2050572,17063.56022,4572.212694,477.343,8274780,4896.09,4.7665,26.265,26.265,73.735,3.5146,1.2519,4225.89,0.071428571,0.107142857,0.119047619,0.798243895,97.59683862,12853.6068,15861.20318,59500,168666.6667,1.808870444,0,0
93,11.1659,12821.34207,1369.124843,17157.06968,4276.47931,474.565,6105840,4751.08,4.4582,22.9848,22.9848,77.0152,3.4335,1.0247,3982.96,0.071428571,0.091836735,0.142857143,0.890173878,97.46496114,12310.22204,14708.49376,73150,178000,1.657765196,0,0
94,9.6486,13674.51406,1429.012914,17159.00972,3900.553546,479.605,5519110,4408.26,4.0663,25.6011,25.6011,74.3989,3.0253,1.041,3667.76,0.071428571,0.107142857,0.119047619,0.830501784,97.37777285,11445.04536,14222.38174,145750,266000,1.75373792,0,0
95,11.1378,13449.64951,1396.882579,17157.88197,4275.711919,472.018,6105920,4749.73,4.4574,22.9946,22.9946,77.0054,3.4324,1.025,3982.01,0.071428571,0.081632653,0.095238095,0.887716794,97.48091516,12222.32428,14723.17871,74650,186000,1.779880733,0,0
96,10.6755,14225.36666,1270.500414,17153.49867,4191.202963,475.046,5712250,4534.64,4.3693,22.5892,22.5892,77.4108,3.3823,0.987,3881.13,0.071428571,0.096938776,0.119047619,0.851882637,97.47670217,11718.99354,14714.49687,100150,247000,1.9670172,0,0
97,10.9411,13411.51305,1264.322057,17136.63058,4107.941018,475.419,5402330,4552.81,4.2825,20.1674,20.1674,79.8326,3.4189,0.8637,3847.05,0,0.091836735,0.119047619,0.833350621,97.48794587,11996.60945,14815.15545,87600,218000,1.86242082,0,0
98,10.231,12965.67129,1140.098914,17132.26769,3636.283201,475.851,3234390,4075.36,3.7908,13.6752,13.6752,86.3248,3.2724,0.5184,3439.46,0,0.086734694,0.119047619,0.785715414,97.43605753,11718.47314,14777.56004,118600,258000,1.861515181,0,0
99,10.3776,13131.88027,648.4900572,17060.58832,4186.310844,476.322,6002660,4507.82,4.3642,23.5631,23.5631,76.4369,3.3358,1.0283,3812.7,0.071428571,0.096938776,0.119047619,0.829365761,97.51322256,12163.02331,14735.99259,77833.33333,210000,1.979306511,0,0
100,10.9262,15385.61794,1369.124843,17157.06968,4131.921993,474.13,5613340,4620.99,4.3075,22.7739,22.7739,77.2261,3.3265,0.981,3908.83,0.071428571,0.091836735,0.142857143,0.890173878,97.47788994,12667.26543,15342.88257,83050,140000,1.351318148,0,0
